Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Arduino Uno,Arduino Uno R3,1,Arduino,A000066,https://docs.arduino.cc/resources/datasheets/A000066-datasheet.pdf,450,450
Buzzer,"5V Active Buzzer, 12mm",1,generic,TMB12A05,https://static.rapidonline.com/pdf/35-0905_v1.pdf,10,10
Resistor,"10K Ohm, 0.25W",1,generic,CF-25,https://docs.rs-online.com/7a5c/A700000008919930.pdf,0.25,0.25
LDR,Light Dependant Resistor 12mm,1,generic,GL5528,https://www.acdcshop.gr/content/02-LDR1.pdf,15,15
LCD Keypad Shield,Arduino-compatible 16Ã—2 LCD + 5-button keypad shield (plug-on),1,generic,,https://media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0009_Web.pdf,120,120
Jumper Wires,Female-Male,5,generic,,https://www.handsontec.com/dataspecs/40P-MF-Jumper-Wire.pdf,1.5,7.5
BreadBoard,170 Tie Point Mini,1,generic,SYB-170,https://media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-12047_Web.pdf,15,15
Arduino cable,USB cable A male/B female type,1,generic,,https://www.zagroselec.ir/stfiles/getappdocument/1/true/6d0c893d-b3fe-4f8b-82a5-9f4546f9b40d.pdf,50,50
,,,,,,,667.75
