Part,Description,Quantity,Manufacturer,Part Number,Price (EGP),Total Price (EGP)
Arduino Uno,Arduino Uno R3,1,Arduino,A000066,450,450
Buzzer,"5V Active Buzzer, 12mm",1,generic,TMB12A05,10,10
Resistor,"10K Ohm, 0.25W",1,generic,CF-25,0.25,0.25
LDR,Light Dependant Resistor 12mm,1,generic,GL5528,15,15
LCD Keypad Shield,Arduino-compatible 16Ã—2 LCD + 5-button keypad shield (plug-on),1,generic,,120,120
Jumper Wires,Female-Male,5,generic,,1.5,7.5
BreadBoard,170 Tie Point Mini ,1,generic,SYB-170,15,15
Arduino cable,USB cable A male/B female type,,generic,,50,50
,,,,,,667.75
